S2_sex,age_cat,S1_race,juv_fel_count,juv_misd_count,juv_other_count,priors_count,c_charge_degree,score_text,v_score_text,T_two_year_recid
Male,25 - 45,African-American,1,6,1,14,F,High,High,1
Male,Less than 25,Other,0,0,0,0,F,Medium,High,1
Male,Less than 25,African-American,1,0,0,2,F,High,High,1
Male,Less than 25,African-American,0,0,1,2,M,Medium,High,1
Female,25 - 45,African-American,0,0,0,1,M,Low,Low,0
Male,25 - 45,African-American,0,0,0,9,F,Medium,Medium,1
Male,25 - 45,Caucasian,0,0,0,7,F,High,Low,1
Male,Less than 25,Other,0,0,0,1,F,Medium,Medium,1
Male,25 - 45,Caucasian,0,0,0,9,F,High,High,1
Male,Greater than 45,African-American,0,0,0,12,M,Medium,Low,0
Female,Less than 25,Caucasian,0,0,0,0,F,Medium,High,0
Male,25 - 45,Caucasian,0,0,0,2,F,Low,Low,1
Male,Greater than 45,Caucasian,0,0,0,3,F,Low,Low,0
Female,Greater than 45,Caucasian,0,0,0,0,M,Low,Low,0
Female,25 - 45,Hispanic,0,0,0,0,M,Low,Low,0
Male,Less than 25,African-American,0,0,0,1,M,Low,Medium,1
Male,Less than 25,African-American,0,0,0,1,F,Low,Low,0
Male,25 - 45,African-American,0,0,0,1,F,Low,Low,0
Female,25 - 45,Caucasian,0,0,0,0,F,Low,Low,1
Male,Less than 25,Caucasian,0,1,2,8,F,Medium,Medium,1
Male,25 - 45,Caucasian,0,0,0,0,F,Low,Low,0
Male,25 - 45,Caucasian,0,0,0,0,M,Medium,Low,0
Female,25 - 45,Caucasian,0,0,0,1,F,Low,Low,0
Male,Greater than 45,African-American,0,0,0,14,F,High,Low,1
Male,25 - 45,Caucasian,0,0,0,1,F,Low,Low,0
Male,Less than 25,African-American,0,0,0,3,F,High,Medium,1
Male,25 - 45,Caucasian,0,0,0,5,M,Low,Low,1
Male,25 - 45,Caucasian,0,0,0,0,F,Medium,Medium,0
Male,25 - 45,African-American,0,0,0,5,F,Medium,Low,1
Male,25 - 45,African-American,0,0,0,3,F,Low,Low,0
Male,25 - 45,Caucasian,0,0,0,1,F,Low,Low,1
Male,25 - 45,African-American,0,1,0,10,F,High,Medium,1
Male,Less than 25,African-American,0,0,0,0,F,Low,Medium,1
Male,25 - 45,African-American,0,12,2,28,F,High,Medium,1
Male,25 - 45,African-American,0,0,0,1,M,Medium,High,0
Female,25 - 45,Other,0,0,0,1,F,Low,Low,0
Male,25 - 45,Caucasian,0,0,0,13,F,High,Medium,1
Male,25 - 45,African-American,0,0,0,3,F,High,Low,1
Male,Greater than 45,African-American,0,0,0,8,F,High,Low,0
Male,Greater than 45,Caucasian,0,0,0,3,M,High,Medium,0
Male,25 - 45,African-American,0,0,0,19,F,High,Medium,1
Female,Greater than 45,Caucasian,0,0,0,2,M,Low,Low,0
Male,Less than 25,Caucasian,0,0,0,4,F,Medium,High,1
Male,25 - 45,Caucasian,0,0,0,6,F,Low,Low,0
Female,25 - 45,Caucasian,0,0,0,2,F,Low,Medium,0
Male,25 - 45,Caucasian,0,0,0,1,M,Low,Low,0
Male,25 - 45,Caucasian,0,0,0,2,F,Low,Low,0
Female,25 - 45,Other,0,0,0,2,M,Low,Low,0
Male,25 - 45,Caucasian,0,0,0,0,M,Low,Low,1
Female,Less than 25,African-American,0,0,0,0,M,Low,Low,0
Female,25 - 45,Caucasian,0,1,0,10,F,Low,Low,1
Male,25 - 45,Caucasian,0,0,0,2,M,Low,Low,1
Female,25 - 45,Hispanic,0,0,0,4,F,Medium,Medium,1
Male,25 - 45,African-American,0,0,0,3,F,Medium,Low,1
Male,25 - 45,Caucasian,0,0,0,2,M,Low,Low,1
Male,25 - 45,African-American,0,0,0,1,M,Low,Low,0
Male,Greater than 45,Caucasian,0,0,0,1,F,Low,Low,1
Female,Greater than 45,Caucasian,0,0,0,4,F,Low,Low,0
Female,Less than 25,African-American,1,0,0,1,F,High,High,0
Female,25 - 45,Caucasian,0,0,0,0,M,Low,Low,0
Male,25 - 45,African-American,1,1,0,9,F,High,Low,1
Male,25 - 45,African-American,0,0,0,11,F,Medium,Medium,1
Male,25 - 45,African-American,0,0,0,8,M,Medium,Low,1
Female,25 - 45,African-American,0,0,0,0,F,Low,Low,1
Female,25 - 45,African-American,0,0,0,7,F,High,High,1
Male,25 - 45,African-American,0,0,0,2,F,High,High,1
Female,Less than 25,African-American,0,0,0,0,F,Medium,High,0
Female,25 - 45,Caucasian,0,0,0,0,M,Medium,Low,0
Female,Greater than 45,African-American,0,0,0,1,F,Low,Low,1
Male,Greater than 45,Other,0,0,0,13,F,Medium,Medium,1
Male,Greater than 45,Hispanic,0,0,0,1,F,Low,Low,0
Female,25 - 45,African-American,0,0,0,4,F,High,High,1
Male,25 - 45,Hispanic,0,0,0,1,F,Low,Low,0
Female,Greater than 45,Other,0,0,0,1,F,Low,Low,0
Female,25 - 45,African-American,0,0,0,2,M,Low,Low,1
Male,Greater than 45,African-American,0,0,0,3,M,Low,Low,0
Male,25 - 45,Caucasian,1,0,0,1,M,Low,Low,0
Female,25 - 45,Caucasian,0,0,0,3,F,Medium,Low,1
Male,25 - 45,African-American,0,0,0,1,F,Medium,High,0
Male,Greater than 45,Caucasian,0,0,0,2,M,Low,Low,0
Male,Less than 25,African-American,0,0,0,1,F,Low,Low,0
Male,Greater than 45,Caucasian,0,0,0,6,F,Low,Low,1
Female,Greater than 45,Caucasian,0,0,0,6,F,Medium,Low,0
Male,25 - 45,Caucasian,0,0,0,0,F,Medium,Low,0
Male,25 - 45,African-American,0,0,0,1,M,Low,Low,1
Male,Less than 25,Hispanic,0,0,0,0,F,Low,Medium,0
Female,25 - 45,African-American,0,0,0,5,F,Medium,Low,0
Male,Greater than 45,Hispanic,0,0,0,2,M,Low,Low,0
Male,Greater than 45,African-American,0,0,0,8,F,Low,Low,0
Female,25 - 45,Caucasian,0,0,0,6,F,High,Low,0
Male,Greater than 45,Caucasian,0,0,0,1,F,Low,Low,0
Male,25 - 45,Hispanic,0,0,0,8,F,High,Medium,1
Male,25 - 45,African-American,0,0,0,6,M,Medium,Medium,1
Male,Greater than 45,Hispanic,0,0,0,2,F,Low,Low,0
Male,Greater than 45,Hispanic,0,0,0,0,F,Low,Low,0
Male,Greater than 45,Caucasian,0,0,0,1,M,Low,Low,1
Male,Greater than 45,Caucasian,0,0,0,0,F,Low,Low,0
Male,Less than 25,Other,0,0,0,0,F,Low,Low,0
Male,25 - 45,African-American,2,2,1,22,F,High,Medium,1
Male,Less than 25,African-American,0,0,0,1,F,Medium,Medium,1
Male,Greater than 45,African-American,0,0,0,23,M,High,Low,1
Male,Less than 25,African-American,0,0,0,0,M,Low,Low,1
Male,Greater than 45,Hispanic,0,0,0,1,F,Low,Low,0
Female,25 - 45,Caucasian,0,0,0,2,F,Medium,Low,1
Male,Greater than 45,African-American,0,0,0,3,F,Low,Low,0
Male,Greater than 45,Caucasian,0,0,0,8,M,Low,Low,1
Female,Greater than 45,Other,0,0,0,0,M,Low,Low,1
Male,25 - 45,African-American,0,0,0,13,F,High,Medium,1
Male,25 - 45,African-American,0,0,0,2,M,High,High,1
Male,25 - 45,Caucasian,0,0,0,0,F,Low,Low,1
Male,25 - 45,African-American,0,0,0,9,F,High,High,1
Male,Greater than 45,Caucasian,0,0,0,2,F,Low,Low,0
Male,Less than 25,African-American,0,0,0,0,F,Low,Low,1
Male,25 - 45,African-American,0,0,0,2,M,Low,Low,0
Female,Less than 25,African-American,0,0,0,1,M,Low,Low,0
Male,25 - 45,Other,0,0,0,2,M,Low,Low,1
Male,Greater than 45,Caucasian,0,0,0,1,F,Low,Low,0
Female,25 - 45,Caucasian,0,0,0,0,M,Low,Low,0
Male,25 - 45,Caucasian,0,0,0,4,M,Low,Low,0
Female,25 - 45,African-American,0,1,0,23,F,High,High,1
Male,Less than 25,Other,0,0,0,5,F,Medium,Low,1
Male,25 - 45,African-American,0,0,0,2,F,High,High,1
Male,25 - 45,African-American,0,0,0,0,M,Low,Low,0
Female,25 - 45,African-American,0,0,0,0,F,High,Medium,0
Male,25 - 45,Caucasian,0,0,0,11,F,Medium,Low,1
Female,25 - 45,Caucasian,0,0,0,7,F,High,Medium,1
Male,25 - 45,African-American,0,0,0,2,F,Low,Low,0
Male,25 - 45,Caucasian,0,0,0,2,M,Low,Low,0
Female,25 - 45,African-American,0,0,0,1,F,High,Medium,0
Male,Greater than 45,Caucasian,0,0,0,7,F,Low,Low,1
Male,25 - 45,African-American,0,0,0,15,F,High,Low,0
Male,25 - 45,African-American,0,0,0,2,M,Medium,Low,0
Male,Greater than 45,African-American,0,0,0,3,F,Medium,Low,0
Male,25 - 45,Hispanic,0,0,0,0,M,Low,Low,0
Male,Greater than 45,Caucasian,0,0,0,1,F,Low,Low,0
Female,Greater than 45,Caucasian,0,0,0,0,M,Low,Low,1
Male,Greater than 45,Caucasian,0,0,0,0,M,Low,Low,0
Male,25 - 45,Other,0,0,0,1,M,Low,Low,1
Male,Greater than 45,African-American,0,0,0,0,F,Low,Low,0
Male,25 - 45,Caucasian,0,0,0,4,F,Low,Low,1
Female,25 - 45,African-American,0,0,0,2,F,Medium,Low,0
Female,25 - 45,African-American,0,0,0,5,M,Medium,Low,0
Male,25 - 45,African-American,0,0,0,11,F,High,High,1
Male,25 - 45,African-American,0,0,0,0,M,Low,Low,0
Male,25 - 45,Other,0,0,0,4,F,Low,Low,1
Male,Greater than 45,African-American,0,0,0,11,F,High,High,0
Male,Less than 25,African-American,0,0,0,2,F,High,Medium,0
Female,25 - 45,African-American,0,0,0,2,F,Low,Medium,1
Male,25 - 45,African-American,0,0,0,0,M,Low,Low,0
Male,Greater than 45,Caucasian,0,0,0,0,F,Low,Low,0
Male,25 - 45,Caucasian,0,0,0,13,F,Low,Low,1
Male,Greater than 45,African-American,0,0,0,0,F,Low,Low,0
Male,25 - 45,Caucasian,0,0,0,1,F,Low,Low,0
Male,25 - 45,African-American,0,0,2,11,M,High,Low,1
Male,25 - 45,Caucasian,0,0,0,1,F,Medium,Low,0
Male,Less than 25,African-American,0,0,0,0,F,Low,Medium,0
Male,25 - 45,African-American,0,0,0,4,F,Low,Low,0
Male,25 - 45,Hispanic,0,0,0,4,F,Low,Low,0
Male,25 - 45,Caucasian,0,0,0,0,F,High,Medium,1
Male,25 - 45,Caucasian,0,0,0,0,F,Low,Low,1
Male,25 - 45,African-American,0,1,0,14,F,High,High,0
Male,25 - 45,African-American,0,1,0,4,M,High,Medium,0
Male,Greater than 45,Caucasian,0,0,0,1,M,Low,Low,0
Male,25 - 45,African-American,0,0,0,25,F,High,High,1
Male,25 - 45,Caucasian,0,0,0,8,M,Medium,Low,1
Male,25 - 45,African-American,0,0,0,0,F,Low,Low,0
Male,Less than 25,Caucasian,0,0,1,1,M,High,Medium,1
Female,25 - 45,Other,0,0,0,0,M,Low,Low,0
Female,25 - 45,Other,0,0,0,3,F,Low,Low,0
Male,25 - 45,Caucasian,0,0,0,8,F,Medium,High,1
Male,25 - 45,Caucasian,0,0,0,4,F,Low,Low,0
Male,Less than 25,African-American,0,0,0,3,M,High,High,1
Female,Less than 25,Caucasian,0,0,0,1,M,Medium,Medium,1
Male,25 - 45,African-American,0,0,0,3,M,Low,Low,1
Female,25 - 45,Hispanic,0,0,0,0,M,Low,Low,0
Male,Less than 25,Hispanic,0,0,1,1,F,Medium,Low,1
Female,Less than 25,Caucasian,0,0,4,5,F,Medium,Medium,1
Male,Less than 25,Hispanic,0,0,0,0,M,High,Medium,0
Male,25 - 45,African-American,0,0,0,1,M,Low,Low,0
Male,Less than 25,African-American,0,0,0,1,F,High,Medium,1
Male,25 - 45,African-American,0,0,0,2,F,Medium,Medium,1
Male,25 - 45,Other,0,0,0,0,F,Low,Low,0
Male,25 - 45,African-American,0,0,0,4,F,Low,Low,0
Male,25 - 45,Caucasian,0,0,0,2,M,Low,Low,0
Female,25 - 45,African-American,0,0,0,2,F,Low,Low,0
Male,Less than 25,African-American,0,0,0,0,F,High,Medium,0
Male,Less than 25,Hispanic,0,0,1,0,F,Medium,Medium,0
Female,Greater than 45,African-American,0,0,0,0,F,Low,Low,0
Female,Less than 25,African-American,0,0,0,0,F,Low,Low,1
Female,Greater than 45,African-American,0,0,0,0,F,Low,Low,0
Male,Greater than 45,African-American,0,0,0,8,F,Medium,Low,1
Male,25 - 45,Caucasian,0,0,0,0,F,Medium,Low,0
Male,25 - 45,Caucasian,0,0,0,0,F,Medium,Medium,1
Male,25 - 45,African-American,0,0,0,11,F,Medium,Medium,1
Male,Less than 25,African-American,0,1,1,3,M,High,Medium,1
Female,Less than 25,Caucasian,0,0,0,1,F,Low,Low,0
Male,25 - 45,African-American,0,0,0,2,F,High,High,0
Male,25 - 45,Caucasian,0,0,0,2,F,Low,Low,0
Female,25 - 45,African-American,0,0,0,2,M,Low,Low,0
Female,25 - 45,Other,0,0,0,0,F,Low,Low,0
Male,25 - 45,African-American,0,0,0,24,M,Medium,Low,0
Male,Greater than 45,African-American,0,0,0,3,F,Medium,Low,1
Male,25 - 45,African-American,0,0,0,0,F,Low,Low,0
Male,25 - 45,Caucasian,0,0,0,3,F,Low,Low,0
Male,25 - 45,African-American,0,0,0,3,M,Low,Low,1
Male,Greater than 45,Caucasian,0,0,0,1,M,Low,Low,0
Male,Greater than 45,Caucasian,0,0,0,6,F,Low,Low,1
Male,Greater than 45,Caucasian,0,0,0,3,F,Low,Low,0
Male,Less than 25,African-American,0,0,0,0,M,High,Medium,1
Male,25 - 45,African-American,0,0,0,1,M,High,Medium,1
Male,25 - 45,Hispanic,0,0,0,3,F,Low,Low,1
Male,25 - 45,Caucasian,0,0,0,5,M,Low,Low,0
Male,Less than 25,African-American,0,0,0,1,F,Medium,Medium,1
Male,25 - 45,African-American,0,0,0,5,M,Low,Low,0
Male,Less than 25,Caucasian,0,0,0,0,F,Medium,Medium,1
Male,25 - 45,African-American,0,0,0,5,F,Low,Low,1
Male,25 - 45,African-American,0,0,0,2,F,Low,Low,0
Male,25 - 45,African-American,0,0,0,6,F,Low,Low,1
Male,Less than 25,Other,0,0,0,0,F,Low,Medium,0
Male,25 - 45,Caucasian,0,0,0,1,M,Low,Low,1
Male,Greater than 45,Caucasian,0,0,0,2,F,Low,Low,0
Female,Less than 25,African-American,0,0,0,0,M,Medium,Medium,0
Male,Less than 25,African-American,0,0,0,1,F,Medium,Medium,0
Male,Less than 25,African-American,0,0,1,4,M,High,Medium,1
Male,Greater than 45,Caucasian,0,0,0,0,F,Low,Low,0
Male,25 - 45,African-American,1,0,1,4,M,High,High,1
Male,25 - 45,Caucasian,0,0,0,5,F,Low,Low,0
Male,25 - 45,Other,0,0,0,2,F,Low,Low,1
Female,25 - 45,African-American,0,0,0,5,F,Low,Low,0
Male,Less than 25,Hispanic,0,0,0,0,F,Low,Medium,0
Male,25 - 45,African-American,0,0,0,0,M,Low,Low,0
Male,25 - 45,Caucasian,0,0,0,0,M,Low,Low,1
Male,25 - 45,Caucasian,0,0,0,3,M,Low,Low,1
Female,25 - 45,Caucasian,0,0,0,0,F,Low,Low,0
Male,Less than 25,Other,0,1,0,9,F,High,High,1
Male,25 - 45,African-American,0,0,0,0,F,Low,Low,0
Male,Less than 25,African-American,0,0,0,0,F,High,High,1
Female,Greater than 45,Caucasian,0,0,0,0,M,Low,Low,0
Male,Greater than 45,Caucasian,0,0,0,0,M,Low,Low,0
Male,25 - 45,African-American,0,0,0,7,F,High,Medium,0
Male,Less than 25,African-American,0,0,0,0,F,High,High,1
Male,Greater than 45,Caucasian,0,0,0,6,F,Low,Low,0
Male,25 - 45,Caucasian,0,0,0,8,F,Medium,Low,0
Male,Less than 25,African-American,0,1,0,2,F,High,High,1
Male,Greater than 45,Caucasian,0,0,0,36,F,Medium,High,1
Male,25 - 45,Caucasian,0,0,0,2,M,Low,Low,1
Male,Greater than 45,African-American,0,0,0,1,F,Low,Low,0
Male,Less than 25,Hispanic,0,1,0,3,F,Medium,Medium,0
Female,25 - 45,African-American,0,0,0,0,F,Medium,Medium,0
Female,25 - 45,Caucasian,0,0,0,2,M,Low,Low,1
Female,Less than 25,Hispanic,0,0,0,1,M,Low,Low,0
Male,25 - 45,Caucasian,0,0,0,1,F,Medium,Low,0
Female,Less than 25,African-American,0,0,0,0,F,High,Medium,1
Male,25 - 45,Caucasian,0,0,0,0,M,Low,Low,0
Male,Less than 25,African-American,0,0,0,0,F,Low,Low,0
Male,25 - 45,African-American,0,0,0,3,F,Medium,Low,1
Male,25 - 45,Other,0,0,0,1,F,Low,Low,1
Male,25 - 45,African-American,0,0,0,0,F,Low,Low,0
Female,25 - 45,Caucasian,0,0,0,0,M,Medium,Low,0
Male,Greater than 45,Hispanic,0,0,0,1,M,Low,Low,0
Male,25 - 45,Other,0,0,0,3,F,Low,Low,0
Female,25 - 45,African-American,0,0,0,2,F,Medium,Medium,0
Male,25 - 45,African-American,0,1,0,12,F,High,Medium,1
Male,Less than 25,African-American,0,0,1,1,F,Medium,Medium,0
Male,Greater than 45,African-American,0,0,0,3,F,Low,Low,0
Female,25 - 45,Hispanic,0,0,0,1,F,Low,Low,1
Male,25 - 45,Caucasian,0,0,0,0,F,Low,Low,0
Male,Less than 25,African-American,0,2,0,2,F,High,High,1
Male,25 - 45,Hispanic,0,0,0,0,M,High,Medium,0
Male,25 - 45,Other,0,0,0,0,M,Low,Low,0
Female,Less than 25,Caucasian,0,0,2,0,F,Medium,High,0
Male,Greater than 45,Caucasian,0,0,0,0,M,Low,Low,0
Male,Less than 25,Caucasian,0,0,0,2,F,Medium,Medium,0
Male,25 - 45,African-American,0,0,1,6,M,High,High,1
Male,Less than 25,Caucasian,0,0,0,0,F,Low,Medium,0
Female,Less than 25,African-American,0,0,0,0,F,Medium,Medium,1
Male,Greater than 45,African-American,0,0,0,3,F,Medium,Low,0
Male,25 - 45,African-American,0,0,1,2,M,Low,Low,0
Female,Greater than 45,Caucasian,0,0,0,0,M,Low,Low,0
Female,25 - 45,African-American,0,0,0,0,M,High,High,0
Male,Less than 25,African-American,2,0,0,3,F,High,High,1
Male,25 - 45,Hispanic,0,0,0,2,M,Medium,Low,1
Female,Less than 25,Other,1,0,0,1,F,Low,Medium,0
Male,25 - 45,Hispanic,0,0,0,1,F,Low,Low,0
Male,25 - 45,Caucasian,0,0,0,0,F,Low,Low,0
Male,Less than 25,African-American,0,1,0,1,F,Low,Medium,0
Male,Less than 25,Caucasian,0,0,0,2,M,Medium,Medium,1
Male,Greater than 45,African-American,0,0,0,18,F,High,Medium,0
Male,Less than 25,African-American,0,0,0,4,F,High,Medium,1
Male,Less than 25,African-American,0,0,0,0,F,Medium,Medium,1
Male,25 - 45,Caucasian,0,0,0,1,M,Low,Low,0
Female,Greater than 45,Caucasian,0,0,0,1,M,Low,Low,1
Male,25 - 45,Caucasian,0,0,0,0,F,Medium,High,1
Male,25 - 45,African-American,0,0,0,7,F,High,Medium,1
Female,Greater than 45,Caucasian,0,0,0,1,M,Low,Low,0
Female,Less than 25,African-American,0,0,0,0,F,Low,Low,0
Male,25 - 45,African-American,0,0,0,1,F,Low,Low,0
Male,25 - 45,African-American,0,0,0,1,M,Low,Low,0
Male,Less than 25,Caucasian,0,0,0,1,M,Low,Low,0
Male,25 - 45,African-American,1,1,0,6,F,High,Low,1
Male,Less than 25,African-American,0,0,0,4,F,High,High,1
Male,Less than 25,Caucasian,0,0,0,3,M,Medium,High,0
Male,25 - 45,African-American,0,0,0,23,F,High,Low,1
Male,25 - 45,African-American,0,0,0,2,F,Medium,Medium,0
Male,Greater than 45,African-American,0,0,0,2,F,Low,Low,0
Male,Greater than 45,African-American,0,0,0,1,F,Low,Low,0
Male,25 - 45,African-American,0,0,0,7,F,Low,Low,0
Male,Greater than 45,Caucasian,1,0,0,23,F,High,Medium,1
Female,Greater than 45,Caucasian,0,0,0,0,M,Low,Low,0
Male,25 - 45,African-American,0,0,0,12,F,High,Medium,1
Male,25 - 45,African-American,0,0,0,5,F,High,Medium,0
Male,25 - 45,Caucasian,0,0,0,3,M,Low,Low,0
Female,25 - 45,Hispanic,0,0,0,0,F,Low,Low,0
Male,Greater than 45,Caucasian,0,0,0,5,F,High,Medium,1
Male,25 - 45,African-American,0,0,0,14,F,Medium,Low,1
Male,25 - 45,African-American,1,0,0,2,F,Medium,Medium,0
Male,Less than 25,African-American,0,0,1,0,M,High,Medium,1
Male,25 - 45,African-American,0,0,2,6,F,Medium,Medium,0
Male,25 - 45,Caucasian,0,0,0,0,F,Low,Low,0
Male,Greater than 45,Caucasian,0,0,0,2,F,Low,Low,0
Male,Greater than 45,African-American,0,0,0,5,F,Low,Low,0
Male,25 - 45,African-American,0,0,0,9,F,High,High,1
Male,Greater than 45,Caucasian,0,0,0,4,F,Low,Low,1
Male,25 - 45,African-American,0,0,0,3,F,Low,Low,0
Male,Greater than 45,Other,0,0,0,4,F,Low,Low,0
Male,Less than 25,Hispanic,0,0,0,1,M,Low,Low,0
Female,25 - 45,Caucasian,0,0,0,0,M,Medium,Low,0
Male,Greater than 45,Caucasian,0,0,0,0,M,Low,Low,0
Female,Less than 25,African-American,0,0,0,0,F,Medium,High,0
Female,25 - 45,African-American,0,0,0,1,F,Low,Low,1
Male,Greater than 45,African-American,0,0,0,11,F,Medium,Low,0
Male,25 - 45,Caucasian,0,0,0,0,M,Low,Low,1
Male,Less than 25,Hispanic,0,0,0,0,M,Low,Medium,0
Male,Less than 25,Caucasian,0,0,0,0,F,Low,Medium,0
Female,Greater than 45,Caucasian,0,0,0,2,M,Low,Low,0
Male,25 - 45,African-American,0,0,0,7,M,Low,Low,1
Male,Less than 25,Caucasian,0,0,0,1,F,Medium,Medium,1
Male,25 - 45,African-American,0,0,0,8,F,Medium,Medium,1
Male,25 - 45,Other,0,0,0,1,F,Low,Low,0
Male,Less than 25,African-American,0,0,0,0,F,Medium,High,1
Male,25 - 45,Caucasian,0,0,0,0,M,Medium,Low,1
Male,25 - 45,African-American,0,0,0,8,F,High,High,0
Male,Greater than 45,African-American,0,0,0,21,M,Medium,Low,1
Male,Less than 25,African-American,0,0,0,3,F,Medium,Medium,0
Male,Greater than 45,Hispanic,0,0,0,1,M,Low,Low,1
Male,25 - 45,Caucasian,0,0,0,0,F,Low,Low,0
Male,Greater than 45,African-American,0,0,0,1,F,Medium,Medium,1
