S1_racepctblack,pctWInvInc,pctWPubAsst,NumUnderPov,PctPopUnderPov,PctUnemployed,MalePctDivorce,FemalePctDiv,TotalPctDiv,PersPerFam,PctKids2Par,PctYoungKids2Par,PctTeen2Par,NumKidsBornNeverMar,PctKidsBornNeverMar,PctPersOwnOccup,HousVacant,PctHousOwnOcc,PctVacantBoarded,NumInShelters,NumStreet,T_ViolentCrimesPerPop
0.06,42.1,3.92,2120,8.72,3.31,9.43,13.38,11.54,2.96,76.61,88.72,85.57,173,0.89,65.6,586,63.8,0.34,0,0,0.0
0.41,65.77,0.73,460,3.33,2.69,9.63,15.57,12.8,2.86,77.07,91.35,86.93,27,0.32,75.61,319,75.35,1.25,0,0,0.0
2.92,34.68,12.74,11184,12.92,7.07,13.12,19.09,16.22,3.09,63.25,74.02,65.85,2000,3.29,40.87,1560,40.71,1.47,13,76,1.0
1.89,34.4,10.28,1680,15.28,6.5,10.96,13.25,12.15,3.12,73.66,84.59,76.77,183,1.84,66.4,321,62.56,2.18,0,0,1.0
42.15,21.89,13.69,6410,22.94,8.34,11.69,16.28,14.22,3.33,51.11,61.99,61.76,2412,9.54,58.69,626,57.74,8.31,13,0,1.0
26.96,20.56,18.81,4173,38.27,13.93,8.97,12.76,11.08,3.32,62.57,68.65,66.57,667,5.78,63.1,410,64.53,7.32,0,0,1.0
0.12,18.24,16.71,45126,37.29,11.24,6.18,10.95,8.73,4.16,67.71,84.14,75.33,3070,2.8,61.58,1969,58.96,6.4,4,0,1.0
1.46,47.13,7.08,2756,13.5,8.97,9.34,11.8,10.7,2.96,62.69,67.57,70.4,529,3.28,53.56,713,50.94,2.1,2,0,0.0
0.37,51.29,4.56,436,4.05,5.73,7.33,10.65,9.06,3.15,78.23,94.1,77.23,56,0.72,83.55,134,79.89,0.0,0,0,0.0
1.17,40.93,5.74,1661,8.87,5.13,11.57,12.21,11.89,3.22,77.97,85.49,86.8,149,1.06,71.4,929,67.27,7.53,5,0,1.0
0.24,33.34,13.22,1486,12.63,10.34,12.03,16.32,14.31,3.12,67.82,80.88,74.89,248,2.51,55.37,185,56.37,1.08,11,0,0.0
52.88,24.1,13.17,3699,24.07,7.91,11.55,16.06,14.13,3.1,42.97,50.51,49.82,1450,9.53,50.62,429,52.29,4.9,0,0,1.0
7.95,38.24,5.92,973,5.34,5.1,8.43,12.03,9.94,3.49,75.36,88.3,80.68,536,3.46,82.83,193,82.4,3.63,0,0,1.0
59.63,20.33,18.48,14232,31.96,12.45,11.72,14.97,13.52,3.49,42.18,56.12,54.33,5134,12.32,57.98,1170,58.32,12.14,6,0,1.0
0.94,62.49,2.52,713,2.73,2.43,9.48,12.87,11.26,2.82,81.21,91.83,77.66,91,0.58,75.92,294,72.37,0.68,0,0,0.0
4.8,37.05,6.25,14737,18.5,7.71,10.22,13.83,12.12,3.16,70.45,83.76,76.93,1223,1.9,61.39,3958,59.21,1.64,240,1,1.0
5.26,36.17,12.39,4626,16.93,8.67,11.23,13.8,12.63,3.03,64.74,66.61,70.4,1047,4.37,66.48,649,64.26,3.39,0,0,1.0
44.58,29.04,10.49,8864,17.28,7.06,9.99,11.88,11.0,3.21,59.27,73.73,67.93,3651,8.21,68.27,1495,67.75,9.83,0,10,1.0
36.84,35.91,8.64,2504,15.61,5.68,11.15,15.14,13.39,2.95,53.26,53.45,64.04,1100,7.8,63.12,471,60.67,5.52,17,3,1.0
0.63,48.04,3.6,2470,3.74,5.55,6.22,9.0,7.69,3.1,82.61,92.92,84.33,502,1.03,83.83,3878,82.54,0.72,17,0,0.0
0.7,57.16,2.75,1411,6.14,1.84,14.7,19.21,16.9,2.65,74.71,93.62,80.52,40,0.3,64.34,1759,59.78,0.57,6,50,1.0
1.85,13.09,24.32,4767,37.04,12.26,8.53,12.4,10.59,3.96,61.18,76.35,72.71,489,3.45,68.41,554,68.98,25.81,0,0,1.0
0.09,33.14,8.77,3398,18.82,7.01,11.78,13.59,12.75,2.92,72.93,77.38,75.02,112,0.67,68.9,472,67.53,4.66,7,0,0.0
1.7,55.83,3.47,2105,6.6,3.8,8.33,15.23,12.23,2.87,77.69,90.56,81.23,223,1.04,54.32,1159,43.85,1.38,0,5,1.0
16.34,65.12,2.47,373,2.9,4.65,4.4,7.76,6.2,2.99,83.27,88.68,79.48,208,2.22,83.68,135,77.25,0.0,0,0,0.0
4.22,31.66,12.41,5667,16.85,10.98,13.31,15.71,14.6,3.1,66.69,77.23,76.39,868,2.97,63.17,1064,61.48,3.38,4,0,0.0
19.7,36.37,12.29,62426,19.09,9.92,11.86,15.15,13.62,3.13,58.92,68.72,65.53,15969,6.0,64.11,11242,60.65,13.37,260,12,1.0
39.86,32.15,13.98,313374,20.27,9.62,10.62,14.12,12.53,3.26,47.22,62.33,56.66,138864,11.53,66.55,71824,61.95,21.96,3416,1069,1.0
2.08,66.23,2.91,3335,4.33,3.94,4.92,7.62,6.41,3.05,84.77,94.31,84.44,355,0.7,73.79,1042,68.91,0.29,196,0,0.0
3.52,54.7,4.52,1977,6.72,4.21,8.39,11.99,10.31,2.75,74.95,86.68,78.71,276,1.18,78.76,1487,76.93,0.81,0,0,0.0
26.41,39.06,7.54,9889,16.45,5.97,9.43,12.67,11.25,2.98,59.7,69.62,69.8,2858,5.88,61.35,2090,58.2,4.31,47,0,1.0
17.14,42.8,3.8,1974,9.48,3.37,6.55,11.35,9.11,3.21,74.47,81.25,77.03,567,3.9,72.5,427,68.26,0.94,0,0,0.0
34.26,31.57,8.88,4922,19.89,7.46,10.91,14.14,12.75,3.03,49.67,64.92,59.42,1821,7.89,52.36,994,52.26,2.41,12,6,1.0
5.83,34.13,4.08,7771,7.73,4.74,10.29,15.87,13.21,3.23,74.52,84.99,75.71,1198,1.78,67.55,3395,63.45,5.24,0,4,1.0
0.11,49.72,8.75,1323,11.12,6.85,7.8,12.13,10.14,3.0,72.67,77.26,73.78,212,1.89,65.29,236,58.78,2.54,0,0,0.0
0.92,64.0,1.98,1165,3.51,3.13,5.19,6.42,5.81,3.14,88.59,96.51,89.58,77,0.32,88.77,455,86.08,0.22,0,0,0.0
0.28,51.45,4.67,1632,8.06,6.42,8.61,11.97,10.46,2.97,73.75,80.96,82.82,281,1.74,64.12,450,58.09,0.44,1,0,1.0
2.55,46.04,5.23,1116,8.79,5.41,7.8,9.11,8.48,3.02,77.61,83.46,74.35,125,1.16,83.85,132,82.69,2.27,4,0,1.0
9.69,43.75,8.65,1322,12.53,6.62,9.65,12.34,11.16,2.88,64.25,70.11,66.94,232,2.99,62.28,358,55.3,5.87,0,0,1.0
15.78,34.7,9.69,32189,20.8,7.11,12.18,15.95,14.23,2.88,57.18,75.41,64.48,5720,4.81,54.26,6480,49.86,7.04,354,130,1.0
5.59,30.14,2.24,903,8.46,5.99,13.18,17.29,15.37,2.82,65.51,80.56,67.38,183,2.38,47.84,314,42.9,1.27,0,0,1.0
11.1,64.95,2.35,313,1.49,3.75,5.0,7.81,6.47,3.13,83.94,96.9,86.91,96,0.67,85.73,198,81.45,2.53,0,0,0.0
1.41,60.89,2.87,513,1.79,3.44,7.02,9.91,8.57,3.01,81.3,94.23,79.27,185,0.85,84.14,386,81.0,0.26,0,0,0.0
7.24,40.02,6.53,2257,18.27,8.52,10.07,12.38,11.36,3.0,67.77,74.34,75.51,259,2.49,67.87,618,65.74,0.65,0,0,1.0
0.19,45.34,2.59,3141,4.21,3.56,4.95,7.77,6.38,4.1,89.56,95.53,90.14,228,0.43,89.44,687,87.34,1.31,0,0,0.0
9.78,34.3,10.04,3325,23.15,9.5,11.61,14.36,13.15,2.98,64.73,77.13,69.49,357,2.65,65.84,1038,66.47,6.94,17,0,1.0
4.28,36.28,6.58,79287,20.16,8.12,11.94,16.19,14.15,3.1,61.93,74.97,68.55,12404,4.29,55.14,20653,51.44,2.07,437,102,1.0
7.36,36.52,3.11,927,4.35,4.1,8.22,10.33,9.3,3.13,75.91,88.27,78.78,330,2.48,71.76,932,68.94,0.86,0,0,0.0
5.57,27.47,8.36,2689,23.02,8.51,9.2,11.64,10.51,3.17,70.05,77.81,67.66,200,1.79,65.95,721,66.37,4.85,0,0,1.0
4.6,48.5,4.68,1659,6.68,5.12,10.7,14.26,12.53,2.99,75.06,82.78,76.76,286,1.69,42.77,1040,41.88,2.5,65,0,1.0
0.89,37.59,7.14,838,8.02,7.31,10.51,14.04,12.32,3.24,67.48,89.89,69.84,213,2.85,69.74,1468,66.9,13.56,56,0,1.0
0.59,63.01,2.46,687,4.13,3.05,6.63,8.77,7.8,2.89,82.4,93.88,78.67,94,0.77,74.91,323,67.78,0.31,0,0,0.0
12.06,46.43,2.52,1343,3.78,4.57,8.16,13.94,11.2,3.22,76.06,86.43,76.93,437,1.81,70.39,849,67.72,0.59,0,0,1.0
9.4,39.67,8.81,1560,14.35,4.48,9.36,11.56,10.57,2.91,69.43,79.65,78.06,211,2.12,68.71,431,67.81,1.86,0,0,0.0
0.54,70.06,2.04,278,2.45,2.71,4.13,7.31,5.8,3.1,90.33,93.16,88.69,32,0.38,81.13,84,75.52,1.19,0,0,0.0
2.7,40.18,5.68,2711,6.78,7.22,8.97,12.63,10.93,2.89,71.66,77.79,74.63,609,1.87,72.88,6769,70.86,0.96,273,6,1.0
3.01,61.29,2.85,637,3.68,4.17,5.77,8.77,7.38,3.17,83.65,90.18,90.84,156,1.33,74.78,536,68.15,2.99,5,0,0.0
7.67,43.45,6.9,62058,14.53,6.16,14.55,17.45,16.07,2.96,63.51,76.28,67.2,11790,3.97,57.6,11100,52.98,5.5,1553,149,1.0
10.33,41.6,3.24,1028,3.79,3.3,9.75,12.3,11.0,3.27,79.06,88.45,79.22,474,2.8,67.75,751,66.11,1.46,7,0,0.0
1.45,51.28,4.3,6791,5.15,3.95,9.77,13.42,11.64,3.04,77.43,92.28,78.84,1217,1.37,60.49,2312,56.29,1.56,0,18,1.0
0.06,42.37,3.16,392,3.21,3.21,3.1,5.09,4.1,4.5,91.5,97.66,94.24,45,0.44,92.3,56,91.06,7.14,0,0,0.0
3.64,49.19,5.3,5328,8.3,3.82,11.56,15.3,13.43,3.08,69.83,83.7,74.85,1394,3.48,51.04,1354,50.78,0.59,91,125,1.0
3.03,61.86,4.14,771,6.27,3.31,8.14,10.71,9.55,2.81,75.4,85.65,73.14,169,1.77,65.72,199,59.31,0.5,0,0,0.0
1.06,40.44,3.65,684,6.77,5.66,8.33,9.77,9.08,2.74,75.83,89.36,82.0,145,1.68,79.15,467,82.22,0.21,0,0,0.0
0.8,45.03,4.64,6526,14.48,5.08,6.77,9.78,8.28,3.07,76.33,83.86,78.54,629,1.95,56.93,1058,48.71,0.85,70,0,0.0
36.14,37.07,14.61,25481,21.29,9.25,10.37,14.2,12.44,3.16,38.63,53.9,44.87,12972,15.07,34.96,5071,31.78,10.18,1344,16,1.0
15.59,19.06,11.22,2657,23.81,8.37,13.93,15.86,14.97,3.18,55.69,84.79,53.04,517,4.92,56.69,474,56.62,10.97,0,0,1.0
0.44,67.37,1.14,249,1.27,2.81,4.13,6.05,5.14,3.12,89.64,98.88,88.92,51,0.31,92.01,167,88.83,0.0,0,0,0.0
41.48,25.86,12.4,2468,25.22,9.13,8.38,12.05,10.44,3.14,47.91,56.31,62.31,897,10.7,59.97,295,61.75,3.73,0,0,1.0
0.16,50.68,5.96,2113,6.07,5.64,7.51,9.3,8.45,3.11,79.54,83.99,84.98,450,1.7,75.22,366,67.94,5.46,0,0,0.0
3.83,43.96,7.29,5232,8.98,4.78,9.38,14.38,12.03,3.19,72.29,82.51,78.27,1032,2.24,62.36,1204,59.24,1.16,92,26,1.0
4.62,20.69,16.57,4493,28.22,11.09,11.36,14.09,12.74,3.68,58.91,66.44,69.57,824,5.48,62.03,662,60.91,4.53,0,34,1.0
0.98,40.48,3.85,1220,8.43,3.93,12.71,16.83,14.83,3.2,75.17,84.61,72.52,105,1.17,73.88,383,71.96,0.52,9,0,0.0
0.79,51.01,6.39,6325,12.63,4.82,8.17,10.11,9.2,2.99,75.23,83.97,74.09,620,1.67,60.88,870,56.98,0.57,13,0,0.0
6.36,39.91,6.21,1103,9.33,4.77,18.11,20.19,19.11,2.84,62.08,78.45,65.34,217,2.95,44.26,333,39.32,0.3,2,1,1.0
11.49,48.86,4.19,794,4.23,3.52,13.11,14.43,13.69,3.2,80.04,90.2,82.85,1030,6.51,67.22,190,65.13,0.0,0,0,0.0
1.08,49.51,3.54,1160,3.55,3.31,8.96,12.71,10.85,3.15,79.27,90.91,83.82,266,1.23,68.99,424,63.51,3.3,5,0,0.0
15.59,39.95,3.89,1413,9.28,3.62,10.03,14.45,12.39,2.99,69.84,84.46,71.03,640,5.59,67.4,536,63.34,2.61,0,0,1.0
29.09,38.24,4.59,25518,22.32,5.56,9.32,13.45,11.51,2.93,57.44,70.74,62.15,5233,7.88,49.61,4779,45.17,2.24,148,30,1.0
8.51,66.08,2.6,687,9.64,3.21,4.26,7.75,5.92,2.79,75.42,84.53,82.2,116,2.58,47.48,249,43.19,4.82,0,0,0.0
1.2,53.73,6.35,3066,28.82,7.56,4.27,6.21,5.29,2.99,75.76,77.8,70.89,172,2.52,45.57,216,44.64,0.46,6,0,0.0
2.55,45.26,1.94,481,3.73,2.63,9.76,15.61,12.84,2.95,80.8,92.68,74.03,89,1.15,62.19,622,57.0,0.48,0,0,0.0
0.76,51.57,2.86,431,2.43,2.94,7.96,9.33,8.64,3.21,84.47,95.42,75.55,64,0.58,88.34,785,85.78,2.55,0,0,0.0
0.51,53.59,7.35,4265,21.61,5.96,5.65,7.78,6.76,2.97,74.2,79.08,72.98,257,1.76,53.51,382,51.58,0.79,21,0,0.0
1.26,37.06,10.34,3727,9.59,7.85,10.75,15.27,13.1,3.2,68.95,80.12,77.49,772,2.55,58.53,620,57.19,1.94,57,5,1.0
11.07,53.16,3.06,786,2.67,3.08,7.57,10.25,8.91,3.04,79.76,91.14,86.01,478,2.71,69.98,631,64.55,1.11,8,0,0.0
17.38,30.37,14.47,13999,20.87,8.74,12.56,15.9,14.39,3.06,58.23,65.59,60.85,2855,5.0,56.97,2315,55.8,8.42,2,8,1.0
25.51,29.0,8.44,4578,21.04,8.15,10.25,13.76,12.16,3.11,59.85,74.1,77.02,688,3.57,59.83,1054,61.03,2.94,5,0,1.0
0.54,38.52,6.23,1382,11.79,6.72,10.35,13.69,12.13,3.03,71.32,79.54,75.58,148,1.45,69.07,244,65.83,0.82,14,0,0.0
3.49,48.2,7.74,2603,12.69,5.93,9.29,13.31,11.46,2.97,71.98,76.73,77.0,343,2.05,62.62,416,57.48,2.4,0,0,0.0
13.99,33.34,10.68,643809,18.86,8.34,9.92,14.61,12.26,3.48,59.78,74.48,69.13,212238,9.32,40.31,82558,39.42,2.93,4597,3109,1.0
0.57,37.44,3.81,1515,11.55,7.53,7.29,9.93,8.63,3.22,74.61,83.44,79.83,324,3.52,35.47,262,33.37,4.96,0,0,1.0
0.34,51.51,7.85,750,4.92,4.6,5.41,7.43,6.44,3.26,82.93,94.99,86.62,113,0.99,90.35,219,87.8,8.68,0,0,0.0
0.53,41.01,12.76,4450,17.1,9.73,10.51,13.37,12.05,2.98,64.84,71.73,65.8,606,2.57,66.06,683,61.19,9.08,13,0,0.0
2.27,39.77,2.79,762,4.1,4.98,8.37,11.87,10.18,3.23,76.31,87.5,82.86,216,1.54,79.02,198,77.36,1.52,0,0,0.0
23.47,29.32,7.86,4019,12.22,4.37,8.48,13.7,10.62,3.44,71.38,83.38,81.63,1139,5.13,34.08,597,37.99,2.18,21,2,1.0
1.79,45.5,2.04,1226,4.24,3.09,10.73,13.81,12.29,3.09,82.38,94.3,81.43,123,0.76,67.83,938,62.64,1.49,0,0,0.0
9.93,45.96,4.87,13195,22.42,4.91,7.46,10.34,8.97,2.93,67.89,82.87,62.6,1903,5.69,48.96,1710,43.76,2.92,57,3,1.0
0.16,39.5,10.26,1991,18.76,10.38,11.63,15.0,13.43,3.0,67.52,66.99,74.4,341,3.62,59.04,222,58.47,1.35,0,2,1.0
17.71,41.36,6.29,2529,17.07,5.7,8.03,10.35,9.33,3.0,53.04,70.26,47.25,732,8.18,43.52,347,39.36,5.76,6,0,1.0
12.49,49.32,2.13,672,5.14,4.16,8.25,12.57,10.45,3.05,81.36,94.51,76.37,270,3.29,50.37,651,45.11,0.77,51,1,0.0
1.7,35.8,9.42,6308,18.99,8.01,11.35,14.62,13.17,2.89,64.43,72.81,75.54,763,2.6,65.27,1878,62.93,3.41,4,1,0.0
1.93,40.84,10.99,29863,17.34,8.12,13.7,17.67,15.82,2.94,62.52,72.11,67.01,4071,3.0,61.6,4728,57.23,5.54,259,56,1.0
0.31,44.83,4.26,2040,18.78,6.45,9.4,12.35,10.88,2.97,68.41,67.3,72.35,171,2.27,58.29,321,54.44,0.93,64,1,0.0
0.29,34.71,11.64,2965,18.3,10.96,14.49,15.93,15.23,2.99,64.05,64.12,82.52,498,3.63,60.23,618,57.03,5.02,21,0,1.0
38.25,30.33,12.39,7309,20.71,5.4,8.05,12.85,10.37,3.27,63.09,78.77,66.8,2024,6.65,45.68,913,47.39,2.74,31,3,1.0
0.1,38.1,3.99,862,5.55,6.21,6.86,7.89,7.39,3.29,83.34,94.44,84.1,177,1.53,81.07,438,76.23,1.6,0,0,0.0
0.93,41.69,3.1,1113,3.79,5.47,9.68,11.22,10.46,3.2,82.6,93.37,80.97,182,1.01,69.22,1102,62.79,4.17,0,0,0.0
31.3,35.81,6.41,2610,20.64,8.89,16.81,16.73,16.77,2.83,42.44,53.59,42.01,893,8.51,53.61,1905,55.75,4.41,15,1,1.0
0.47,42.79,7.59,1669,13.85,5.19,10.52,12.75,11.74,3.01,73.46,84.53,76.14,76,0.74,68.08,291,64.47,3.09,0,0,0.0
0.15,65.17,2.13,351,2.32,2.38,5.07,8.51,6.88,3.13,82.14,93.63,76.39,79,0.64,77.23,170,71.46,0.0,0,0,0.0
5.11,24.77,13.18,10513,18.18,10.87,11.58,17.32,14.53,3.29,56.12,66.57,61.43,3156,8.03,22.08,1980,21.76,2.37,189,25,1.0
3.23,59.72,2.07,827,2.95,3.4,10.0,13.35,11.7,3.01,82.17,95.71,83.86,128,0.84,66.0,537,60.12,0.19,0,0,0.0
29.58,33.31,10.16,7561,21.96,8.85,7.62,9.73,8.74,3.25,42.94,59.12,44.96,2757,12.96,32.54,845,32.33,7.46,105,17,1.0
24.96,29.9,12.93,7908,26.41,8.38,10.45,13.2,11.92,3.33,60.66,65.9,68.82,1638,5.69,65.71,818,64.51,6.72,58,0,1.0
42.94,24.67,16.44,4072,17.55,10.6,11.75,18.11,14.87,4.01,50.69,68.36,69.39,1825,10.41,45.01,398,41.71,10.3,57,64,1.0
1.59,67.16,1.63,227,1.39,3.1,3.38,6.17,4.82,3.29,90.37,96.53,93.44,46,0.45,93.74,238,92.93,0.42,0,0,0.0
5.13,46.08,1.82,1471,4.92,3.09,8.66,12.41,10.54,3.23,82.29,93.76,82.8,187,0.98,74.17,795,70.96,2.14,0,2,0.0
33.32,25.37,14.23,8996,28.67,13.03,10.26,13.58,12.05,3.36,58.17,67.61,62.3,2067,7.04,60.93,1283,61.12,5.14,2,0,0.0
0.36,58.48,4.84,470,3.15,3.4,6.16,7.81,7.02,3.26,83.13,94.46,83.5,87,0.81,91.48,111,88.99,1.8,0,0,0.0
0.23,35.35,8.84,1154,9.18,5.92,11.28,12.77,12.07,3.28,63.23,76.27,82.54,375,3.68,75.89,333,73.55,30.03,26,0,0.0
0.22,60.89,2.63,900,2.95,3.8,4.92,6.38,5.69,3.03,86.71,95.36,90.67,95,0.41,88.74,221,85.79,1.81,0,0,0.0
0.14,38.22,2.87,1001,5.38,5.69,9.44,12.8,11.17,3.17,74.84,86.9,77.08,102,0.72,79.68,322,78.54,0.31,0,0,1.0
0.44,30.2,4.92,1060,8.41,5.71,8.77,11.21,10.01,3.26,78.62,85.89,84.85,131,1.33,88.92,130,88.97,2.31,0,0,0.0
65.17,20.29,19.65,10092,25.16,12.4,13.22,15.42,14.44,3.38,34.16,52.22,44.5,6192,17.78,55.04,1975,53.11,35.34,113,1,1.0
21.14,29.58,9.65,1763,17.18,7.56,9.72,12.76,11.41,2.96,64.99,83.69,71.41,324,3.79,59.31,304,56.96,1.64,0,0,1.0
25.05,32.56,9.46,52557,19.44,6.54,15.01,18.14,16.66,3.01,51.4,63.27,60.73,15174,7.25,57.93,14881,55.46,5.31,423,140,1.0
29.5,34.27,5.77,177790,17.97,7.43,13.17,17.88,15.58,3.24,57.49,75.51,64.88,49587,7.28,48.31,63540,44.1,12.32,1200,293,1.0
4.72,37.61,7.4,2197,17.5,5.51,6.9,9.61,8.35,2.86,73.01,87.05,71.15,129,1.2,62.29,332,59.66,2.11,0,0,0.0
0.79,49.07,6.3,8033,16.68,4.73,10.27,13.49,11.97,2.87,68.05,79.81,72.68,731,2.3,55.2,925,50.94,2.38,131,13,0.0
0.52,33.91,5.39,2749,12.8,6.64,15.44,15.78,15.61,2.71,63.4,81.57,77.81,179,0.97,58.92,4629,62.43,0.35,8,0,1.0
10.38,51.46,4.22,2542,6.68,4.13,11.37,16.73,14.22,2.98,67.27,82.6,65.9,772,3.27,56.33,777,55.53,3.99,84,0,1.0
0.24,39.62,5.79,1320,10.71,4.35,9.61,13.14,11.49,3.16,71.79,87.7,80.1,106,1.06,60.04,131,58.7,1.53,18,0,0.0
9.71,35.07,11.99,14857,19.41,8.63,12.3,15.56,14.07,3.1,49.62,60.51,59.62,5395,8.86,58.42,2873,55.92,9.05,172,0,1.0
33.9,33.95,7.7,5036,30.26,10.69,5.4,9.28,7.37,3.1,58.82,77.92,70.24,1031,8.68,53.9,736,49.81,4.21,0,0,1.0
43.76,33.3,15.69,13909,16.1,9.43,13.3,18.5,16.07,3.22,49.56,64.48,57.97,5014,7.61,55.41,1783,54.47,9.87,186,130,1.0
1.02,44.43,6.21,2842,7.2,7.65,6.43,9.26,7.94,3.2,74.23,85.28,76.74,654,2.15,74.19,794,69.2,2.02,0,0,0.0
4.06,53.17,3.13,1657,3.29,3.5,7.52,10.63,9.17,3.06,78.25,91.2,83.66,531,1.26,82.95,620,78.99,0.16,0,0,0.0
0.1,37.71,3.85,911,7.44,4.1,7.9,12.01,9.98,3.28,81.08,93.35,81.56,113,1.29,72.53,144,63.93,1.39,0,0,0.0
1.07,23.39,19.94,5512,43.13,19.22,7.89,12.84,10.6,3.66,56.55,69.14,66.1,666,5.0,63.79,316,63.15,4.11,0,0,0.0
58.44,23.41,19.72,8233,35.71,10.89,10.73,15.26,13.35,3.3,42.57,56.43,54.01,3044,13.18,53.23,825,53.35,2.91,28,0,1.0
1.04,48.68,4.19,617,5.4,5.33,6.89,7.93,7.42,3.13,81.48,89.18,88.88,46,0.52,90.67,113,89.9,6.19,0,0,0.0
0.16,27.75,16.45,10670,37.33,12.14,4.96,9.58,7.43,3.8,68.65,80.79,77.7,496,1.85,70.55,2343,71.55,2.6,0,0,0.0
13.09,40.87,5.91,1120,7.99,7.94,9.47,10.83,10.19,3.11,71.83,84.24,76.11,545,4.4,81.88,1624,82.01,3.2,27,0,0.0
5.97,57.24,1.47,595,1.99,2.55,7.53,10.71,9.21,3.03,83.56,96.07,80.0,112,0.56,84.8,769,81.9,0.91,0,0,0.0
0.67,39.17,7.57,11044,19.46,5.67,9.55,12.5,11.09,3.09,68.92,74.4,73.49,1129,2.67,57.84,1344,53.86,1.79,107,0,0.0
1.33,40.97,4.31,8614,9.17,4.17,12.48,17.63,15.0,3.08,67.31,84.89,70.11,1706,3.12,41.65,2144,40.17,0.7,225,26,1.0
3.0,48.9,2.3,495,4.38,4.24,10.67,15.95,13.42,3.14,72.9,89.54,81.26,159,2.07,44.41,166,43.23,3.01,23,0,0.0
18.69,61.11,2.1,425,3.03,3.64,5.01,7.96,6.55,3.21,82.74,96.94,83.0,134,1.38,82.54,310,75.01,0.32,0,0,1.0
0.56,28.95,20.02,2436,20.41,9.88,12.78,19.16,16.23,3.04,60.99,63.12,69.92,353,3.38,50.99,250,50.21,0.4,31,6,1.0
